date,code,min,max
2002-01-01,LOCTHUAN,0.01,0.01
2002-01-02,LOCTHUAN,0.01,0.01
2002-01-03,LOCTHUAN,0.01,0.01
2002-01-04,LOCTHUAN,0.01,0.01
2002-01-05,LOCTHUAN,0.01,0.01
2002-01-06,LOCTHUAN,0.01,0.01
2002-01-07,LOCTHUAN,0.01,0.01
2002-01-08,LOCTHUAN,0.01,0.01
2002-01-09,LOCTHUAN,0.01,0.01
2002-01-10,LOCTHUAN,0.01,0.01
2002-01-11,LOCTHUAN,0.01,0.01
2002-01-12,LOCTHUAN,0.01,0.01
2002-01-13,LOCTHUAN,0.01,0.01
2002-01-14,LOCTHUAN,0.01,0.01
2002-01-15,LOCTHUAN,0.01,0.01
2002-01-16,LOCTHUAN,0.01,0.01
2002-01-17,LOCTHUAN,0.01,0.01
2002-01-18,LOCTHUAN,0.01,0.01
2002-01-19,LOCTHUAN,0.01,0.01
2002-01-20,LOCTHUAN,0.01,0.01
2002-01-21,LOCTHUAN,0.01,0.01
2002-01-22,LOCTHUAN,0.01,0.01
2002-01-23,LOCTHUAN,0.01,0.01
2002-01-24,LOCTHUAN,0.01,0.01
2002-01-25,LOCTHUAN,0.01,0.01
2002-01-26,LOCTHUAN,0.01,0.01
2002-01-27,LOCTHUAN,0.01,0.01
2002-01-28,LOCTHUAN,0.01,0.01
2002-01-29,LOCTHUAN,0.01,0.01
2002-01-30,LOCTHUAN,0.01,0.01
2002-01-31,LOCTHUAN,0.01,0.01
2002-02-01,LOCTHUAN,0.01,0.01
2002-02-02,LOCTHUAN,0.01,0.01
2002-02-03,LOCTHUAN,0.01,0.01
2002-02-04,LOCTHUAN,0.01,0.01
2002-02-05,LOCTHUAN,0.01,0.01
2002-02-06,LOCTHUAN,0.01,0.01
2002-02-07,LOCTHUAN,0.01,0.01
2002-02-08,LOCTHUAN,0.01,0.01
2002-02-09,LOCTHUAN,0.01,0.01
2002-02-10,LOCTHUAN,0.01,0.01
2002-02-11,LOCTHUAN,0.01,0.01
2002-02-12,LOCTHUAN,2.5,7.7
2002-02-13,LOCTHUAN,1.9,5.7
2002-02-14,LOCTHUAN,2.3,4.0
2002-02-15,LOCTHUAN,0.8,2.8
2002-02-16,LOCTHUAN,1.2,2.5
2002-02-17,LOCTHUAN,1.3,2.4
2002-02-18,LOCTHUAN,1.0,2.7
2002-02-19,LOCTHUAN,0.9,2.9
2002-02-20,LOCTHUAN,1.2,2.8
2002-02-21,LOCTHUAN,1.0,2.1
2002-02-22,LOCTHUAN,1.0,2.2
2002-02-23,LOCTHUAN,1.5,3.0
2002-02-24,LOCTHUAN,2.0,3.5
2002-02-25,LOCTHUAN,2.5,7.0
2002-02-26,LOCTHUAN,1.7,10.2
2002-02-27,LOCTHUAN,6.0,9.2
2002-02-28,LOCTHUAN,6.2,9.4
2002-03-01,LOCTHUAN,0.01,0.01
2002-03-02,LOCTHUAN,0.01,0.01
2002-03-03,LOCTHUAN,0.01,0.01
2002-03-04,LOCTHUAN,0.01,0.01
2002-03-05,LOCTHUAN,0.01,0.01
2002-03-06,LOCTHUAN,0.01,0.01
2002-03-07,LOCTHUAN,1.5,8.9
2002-03-08,LOCTHUAN,3.6,14.1
2002-03-09,LOCTHUAN,4.1,11.3
2002-03-10,LOCTHUAN,3.2,9.5
2002-03-11,LOCTHUAN,3.0,9.0
